"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"983913587776385024","","","2018-04-11 03:44:14 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#LOONA_Fancafe #LOOΠΔ_TV
이달의소녀탐구 #312 (LOONA TV #312)
https://t.co/TgdvNUS63I
#이달의소녀 #LOONA","","","","http://cafe.daum.net/loonatheworld/GoAp/317"
"983904836784742401","","","2018-04-11 03:09:27 +0000","<a href=""http://www.loonatheworld.com/"" rel=""nofollow"">이달의 소녀</a>","RT @loonatheworld: [이달의소녀탐구 #312]
#이달의소녀탐구 #loonatv #이달의소녀 #LOONA #희진 #여진 #진솔 #최리 #고원 #HeeJin #YeoJin #JinSoul #Choerry #GoWon ▶ https://t.…","983902489719144448","770959712791597056","2018-04-11 03:00:08 +0000","https://youtu.be/EGEx3ktGNuM"
"983904271614795777","","","2018-04-11 03:07:13 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#LOONA_Instagram
Video: [이달의소녀탐구 #312] #이달의소녀탐구 #loonatv #이달의소녀 #LOONA #희진 #여진 #진솔 #최리 #고원 #HeeJin #YeoJin #JinSoul #Choerry #GoWon https://t.co/Hgmg4PloGO","","","","https://www.instagram.com/p/BhagbsMhEC1/"
"983903268245004288","","","2018-04-11 03:03:13 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","이달의소녀탐구 #312 (LOONA TV #312)
https://t.co/pnPPEzG1g4
#이달의소녀 #LOONA","","","","https://youtu.be/EGEx3ktGNuM"
"983551191119552513","","","2018-04-10 03:44:12 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#LOONA_Fancafe #LOOΠΔ_TV
이달의소녀탐구 #311 (LOONA TV #311)
https://t.co/m0EfKLIigx
#이달의소녀 #LOONA","","","","http://cafe.daum.net/loonatheworld/GoAp/316"
"983542448696721409","","","2018-04-10 03:09:27 +0000","<a href=""http://www.loonatheworld.com/"" rel=""nofollow"">이달의 소녀</a>","RT @loonatheworld: [이달의소녀탐구 #311]
#이달의소녀탐구 #loonatv #이달의소녀 #LOONA #희진 #최리 #츄 #고원 #HeeJin #Choerry #Chuu #GoWon ▶ https://t.co/wg4zTG2G2s","983540187614494720","770959712791597056","2018-04-10 03:00:28 +0000","https://youtu.be/6AeTHU_T3ts,https://youtu.be/6AeTHU_T3ts"
"983540856341893120","","","2018-04-10 03:03:08 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","이달의소녀탐구 #311 (LOONA TV #311)
https://t.co/gLh4oQhJvb
#이달의소녀 #LOONA","","","","https://youtu.be/6AeTHU_T3ts"
"983540639261515776","","","2018-04-10 03:02:16 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#LOONA_Instagram
Video: [이달의소녀탐구 #311] #이달의소녀탐구 #loonatv #이달의소녀 #LOONA #희진 #최리 #츄 #고원 #HeeJin #Choerry #Chuu #GoWon https://t.co/9LGDuxq0Fn","","","","https://www.instagram.com/p/BhX7HfoBaOR/"
"983257768894320640","","","2018-04-09 08:18:14 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#LOONA_Fancafe #Offline
[이달의 소녀] Olivia Hye 발매 기념 팬 사인회 ①
https://t.co/pyyX9XZm7l
#이달의소녀 #LOONA","","","","http://cafe.daum.net/loonatheworld/F6Fq/117"
"983188801991430144","","","2018-04-09 03:44:11 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#LOONA_Fancafe #LOOΠΔ_TV
이달의소녀탐구 #310 (LOONA TV #310)
https://t.co/W9SZfgfZFa
#이달의소녀 #LOONA","","","","http://cafe.daum.net/loonatheworld/GoAp/315"
"983180060768301056","","","2018-04-09 03:09:27 +0000","<a href=""http://www.loonatheworld.com/"" rel=""nofollow"">이달의 소녀</a>","RT @loonatheworld: [이달의소녀탐구 #310]
#이달의소녀탐구 #loonatv #이달의소녀 #LOONA #희진 #현진 #하슬 #여진 #ViVi #김립 #진솔 #최리 #이브 #츄 #고원 #OliviaHye #HeeJin #HyunJin…","983177740269502464","770959712791597056","2018-04-09 03:00:14 +0000","https://youtu.be/-57Wb1sXeG4"
"983177856074354688","","","2018-04-09 03:00:42 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","이달의소녀탐구 #310 (LOONA TV #310)
https://t.co/0zznBplClA
#이달의소녀 #LOONA","","","","https://youtu.be/-57Wb1sXeG4"
"983083299370254336","","","2018-04-08 20:44:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @loona_day: 문제점을 인지하고 바로 잡는 것도 회사가 할 일입니다. 무지한 건 죄가 아니지만 무지를 깨닫고도 고치지 않는다면 상황이 더 악화될 뿐입니다. 눈 가리고 아웅 식의 대응은 회사 이미지에도 좋지 않을 뿐더러, 소속 아티스트의…","982928320097484806","894164214691934209","2018-04-08 10:29:08 +0000",""
"983083273164177408","","","2018-04-08 20:44:51 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @loona_day: 그러나 오늘 올라온 블록베리 크리에이티브의 대응에 통탄스러운 마음을 감출 수가 없습니다. 이에 모든 계정은 비공개로 변경하였고 회사의 피드백이 올라오지 않는 이상 풀 예정이 없습니다. 보기 싫으면 언팔하시고 계정들이 뜨는…","982928318256201728","894164214691934209","2018-04-08 10:29:07 +0000",""
"983083257993486336","","","2018-04-08 20:44:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @loona_day: 그리고 이달의 소녀 멤버들을 좋아하는 마음이 없었다면 피드백 요청은 커녕 문제 제기 없이 지나쳤을 겁니다. 팬들이 한 마음 한 뜻으로 한 목소리를 내는 것은 그만큼 문제가 크다는 것이겠지요. @loonatheworld","982928316448456705","894164214691934209","2018-04-08 10:29:07 +0000",""
"983083194621689856","","","2018-04-08 20:44:33 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @loona_day: 안녕하세요. 오늘의 달입니다. 앞서 오늘의 계정들의 레스트 트윗은 특정 멤버를 탓하여 작성된 트윗이 아니며 언어 차이로 인한 오해로, 해외팬들의 도를 넘은 한국팬들을 향한 욕설 멘션은 자제해주시길 바랍니다. 한국어를 몰라서…","982928314309341184","894164214691934209","2018-04-08 10:29:06 +0000",""
"983070784280285185","","","2018-04-08 19:55:14 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#LOONA_Fancafe #LOOΠΔ_Notice
[이달의 소녀] 팬카페 분쟁, 불화 조성 글 작성 관련 안내
https://t.co/9uTncj6m8q
#이달의소녀 #LOONA","","","","http://cafe.daum.net/loonatheworld/F5dA/156"
"982555575035850752","","","2018-04-07 09:47:58 +0000","<a href=""http://www.loonatheworld.com/"" rel=""nofollow"">이달의 소녀</a>","RT @loonatheworld: “오늘 쌀쌀한데 따뜻하게 입고 오세요☺️ 사랑해요ㅎㅎ💕”
선배미 뿜뿜하는 #고원 이와 두근두근 설레는 #OliviaHye 의 메세지를 확인하세요😉▶️ https://t.co/0VPAeBlsxj
#이달의소녀 #LOON…","982550811010985985","770959712791597056","2018-04-07 09:29:02 +0000","https://www.facebook.com/loonatheworld/photos/a.303009970076535.1073741828.289822978061901/563335557377307/?type=3&theater,https://www.facebook.com/loonatheworld/photos/a.303009970076535.1073741828.289822978061901/563335557377307/?type=3&theater,https://twitter.com/loonatheworld/status/982550811010985985/photo/1"
"982461018617020416","","","2018-04-07 03:32:14 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#LOONA_Fancafe #LOOΠΔ_TV
이달의소녀탐구 #309 (LOONA TV #309)
https://t.co/VbXjgY4LnK
#이달의소녀 #LOONA","","","","http://cafe.daum.net/loonatheworld/GoAp/314"
"982455284802170880","","","2018-04-07 03:09:27 +0000","<a href=""http://www.loonatheworld.com/"" rel=""nofollow"">이달의 소녀</a>","RT @loonatheworld: [이달의소녀탐구 #309]
#이달의소녀탐구 #loonatv #이달의소녀 #LOONA #희진 #현진 #하슬 #최리 #진솔 #HeeJIn #HyunJin #HaSeul #Choerry #JinSoul ▶ https://…","982452982703734784","770959712791597056","2018-04-07 03:00:18 +0000","https://youtu.be/wk5utQQaBlI"
"982453238711635968","","","2018-04-07 03:01:19 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#LOONA_Instagram
Video: [이달의소녀탐구 #309] #이달의소녀탐구 #loonatv #이달의소녀 #LOONA #희진 #현진 #하슬 #최리 #진솔 #HeeJIn #HyunJin #HaSeul #Choerry #JinSoul https://t.co/KsgDVFsLpW","","","","https://www.instagram.com/p/BhQNV9yhkH-/"
"982453025989111808","","","2018-04-07 03:00:29 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","이달의소녀탐구 #309 (LOONA TV #309)
https://t.co/bOgl7OJaag
#이달의소녀 #LOONA","","","","https://youtu.be/wk5utQQaBlI"
"982092897435684864","","","2018-04-06 03:09:27 +0000","<a href=""http://www.loonatheworld.com/"" rel=""nofollow"">이달의 소녀</a>","RT @loonatheworld: [이달의소녀킼킼 #21]
100일 기념 츄롱잔치😆💕
#이달의소녀 #LOONA #LOONAKick #츄 #Chuu https://t.co/zkXbo0loBH","982090972392636416","770959712791597056","2018-04-06 03:01:48 +0000","https://twitter.com/loonatheworld/status/982090972392636416/video/1,https://twitter.com/loonatheworld/status/982090972392636416/video/1"
"982092560389885952","","","2018-04-06 03:08:07 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#LOONA_Instagram
Video: 💕 [이달의소녀킼킼 #21] 100일 기념 츄롱잔치😆💕 ⠀⠀⠀⠀⠀ #Chuu 's talent show for her 100th days😆💕 ⠀⠀⠀⠀⠀ #이달의소녀 #LOONA #LOONAKick #츄 https://t.co/gbJb8jlDxv","","","","https://www.instagram.com/p/BhNoU_CB2ZH/"
"982062422155563008","","","2018-04-06 01:08:21 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#LOONA_Fancafe #From_LOOΠΔ
[#츄] 안녕하세용~♡ 전 오늘로 데뷔 100일을 맞은 10번째 소녀 츄에요!
https://t.co/evoAyrZrOB
#이달의소녀 #LOONA","","","","http://cafe.daum.net/loonatheworld/F5df/41"
"981775808489455616","","","2018-04-05 06:09:27 +0000","<a href=""http://www.loonatheworld.com/"" rel=""nofollow"">이달의 소녀</a>","RT @loonatheworld: #이달의소녀 #진솔 의 ‘ SingingintheRain ’ MV가 이달의 소녀 MV 최초로 300만뷰를 돌파했어요😆
#여진 이가 깜짝 선물을 줬는데요!! 여진아 축하선물 ... 뽀뽀😘 
고..고마워......🤭
#…","981773454436253697","770959712791597056","2018-04-05 06:00:06 +0000","https://twitter.com/loonatheworld/status/981773454436253697/photo/1"
"981736214863728646","","","2018-04-05 03:32:08 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#LOONA_Fancafe #LOOΠΔ_TV
이달의소녀탐구 #308 (LOONA TV #308)
https://t.co/a3uuMCrwGt
#이달의소녀 #LOONA","","","","http://cafe.daum.net/loonatheworld/GoAp/313"
"981730509108760576","","","2018-04-05 03:09:27 +0000","<a href=""http://www.loonatheworld.com/"" rel=""nofollow"">이달의 소녀</a>","RT @loonatheworld: [이달의소녀탐구 #308]
#이달의소녀탐구 #loonatv #이달의소녀 #LOONA #하슬 #ViVi #최리 #이브 #HaSeul #비비 #Choerry #Yves ▶ https://t.co/ygkoOSoPEn","981728191013240832","770959712791597056","2018-04-05 03:00:15 +0000","https://youtu.be/1l-5yKIRnz4,https://youtu.be/1l-5yKIRnz4"
"981730161191243776","","","2018-04-05 03:08:04 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#LOONA_Instagram
Video: [이달의소녀탐구 #308] #이달의소녀탐구 #loonatv #이달의소녀 #LOONA #하슬 #ViVi #최리 #이브 #HaSeul #비비 #Choerry #Yves https://t.co/QjHeLaJWF8","","","","https://www.instagram.com/p/BhLDr8BBvjV/"
"981729181569638400","","","2018-04-05 03:04:11 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","이달의소녀탐구 #308 (LOONA TV #308)
https://t.co/HuDfbbHK36
#이달의소녀 #LOONA","","","","https://youtu.be/1l-5yKIRnz4"
"981378656340774912","","","2018-04-04 03:51:19 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#LOONA_Fancafe #LOOΠΔ_TV
이달의소녀탐구 #307 (LOONA TV #307)
https://t.co/7d3cXjrhwq
#이달의소녀 #LOONA","","","","http://cafe.daum.net/loonatheworld/GoAp/312"
